TransactionID,Date,CustomerID,Product,Category,Quantity,UnitPrice
1001,2025-04-13,CUST-028,Keyboard,Accessories,20.0,49.99
1002,2025-12-15,CUST-050,Smartwatch,Wearables,20.0,199.99
1003,2025-09-28,CUST-021,Headphones,Audio,10.0,79.99
1004,2025-04-17,CUST-049,Laptop,Computers,20.0,999.99
1005,2025-03-13,CUST-007,Laptop,Computers,,999.99
1006,2025-07-08,CUST-017,Tablet,Computers,10.0,399.99
1007,2025-01-21,CUST-020,Headphones,Audio,30.0,79.99
1008,2025-04-13,CUST-041,Headphones,Audio,40.0,79.99
1009,2025-05-02,CUST-049,Headphones,Audio,50.0,79.99
1010,2025-08-03,CUST-020,Headphones,Audio,50.0,79.99
